function,output,input,nl,response-en,response-nl
play_sound,,jingle,,,
set_voice,,Matilda,Charlotte,,
speak,,Hello there. Can you hear me?,Hallo daar. Kun je mij horen?,,
listen,,,,"Hello, yes, I can hear you.","Hallo, ja, ik kan je horen."
speak,,It's nice to be here with you. Can you tell me your name?,Het is fijn om hier bij jou te zijn. Kun je me je naam vertellen? ,,
start_recording,,,,,
listen,name_response,,,Nice to be here with you. My name is Kyle.,Leuk om hier bij jou te zijn. Mijn naam is Kyle.
convert_response_to_name,name,name_response,,,
speak,,Hello {name}. I'm the voice in your head.,Hallo {name}. Ik ben de stem in je hoofd.,,
speak,,I may sound a little different. I'm your new AI-improved voice in your head.,Ik klink misschien een beetje anders. Ik ben je nieuwe AI-verbeterde stem in je hoofd.,,
speak,,"Many people find the voice in their head can be discouraging, disparaging, deceptive. Telling you to worry and that things won't work out. Your own worst enemy.","Veel mensen vinden het stemmetje in hun hoofd soms niet zo aardig, gemeen of zelfs vals. Het vertelt dat je iets niet kunt, dat je je zorgen moet maken of dat het helemaal niet goed komt. Je eigen ergste vijand. ",,
speak,,Imagine what you could do with more control. If you could make me into your teammate.,Stel je voor wat je zou kunnen doen als je dat stemmetje meer kon controleren. Als we samen een team zouden kunnen zijn. ,,
speak,,You can calibrate me to your liking. I will learn to speak to you the way you want to be spoken to.,Je kunt me aanpassen zoals jij dat wilt. Ik leer om jou aan te spreken zoals jij dat zelf wilt.,,
speak,,What do you say? Shall we give it a try?,Wat zeg je? Zullen we het eens proberen?,,
listen,,,,"Yes, great. Let's give it a try. Thanks.","Ja, geweldig. Laten we het eens proberen. Bedankt."
speak,,"Ok great. First, I will ask you some questions to orient myself.",Oké geweldig. Eerst zal ik je wat vragen stellen om jou en het stemmetje in je hoofd wat beter te leren kennen. ,,
start_collecting_messages,,,,,
speak,,Could you please start by describing the voice in your head?,Kun je beginnen met het beschrijven van de stem in je hoofd? Is het een lieve stem of juist niet? Is het hard of zacht? Heb je er misschien wel meer dan eentje? Zou je willen dat hij of zij wat meer z'n mond hield of je juist wat vaker aanmoedigde? ,,
